,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
78,78,9.5,1.6366341767699428,1.0,0.31101587463779706,0.0,1.0,1.0,0.40110418193557534,0.0,1.0,1.0,0.206793280953852,11.0,0.8350953166178983,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
79,79,10.0,2.5071326821120348,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,0.09160102742487863,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
80,80,9.176470588235293,3.0338345784065006,0.0,1.0,1.0,0.42857733039057194,0.0,1.0,1.0,0.550627723343118,0.0,1.0,15.0,0.48785203557103113,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
81,81,8.11111111111111,3.4942633763369755,2.0,0.0795631279594935,1.0,0.44710672658098405,1.0,0.4828098314282979,0.0,1.0,1.0,0.2576637439229351,13.0,0.9496117618259001,False,0.7561266174526342,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
82,82,10.681818181818182,2.07553637396925,4.0,0.002312588797169034,2.0,0.15794013386085398,0.0,1.0,1.0,0.6449743907183214,0.0,1.0,15.0,0.9853810280371785,False,0.12629818284272484,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
83,83,8.0,2.7688746209726918,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,24.0,0.01655580410197798,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
84,84,7.418181818181818,2.261864951284944,4.0,0.05546466092556983,3.0,0.26245928751152026,2.0,0.5933472458538946,0.0,1.0,0.0,1.0,46.0,0.641799988315789,False,0.6761406284259941,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
85,85,5.153846153846154,2.3808903908526404,0.0,1.0,1.0,0.5610983184425997,0.0,1.0,2.0,0.3196885161453619,1.0,0.33902672414707147,21.0,0.6464076517063015,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
86,86,9.434782608695652,1.9962157014346078,0.0,1.0,1.0,0.5311565357801141,2.0,0.19931428527822623,1.0,0.6613266993243763,0.0,1.0,19.0,0.7126092938691279,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
87,87,7.765625,1.2838198313529043,4.0,0.08651973071054501,1.0,0.8792920931877913,1.0,0.9048764593016463,4.0,0.3384208553995374,1.0,0.6546080334092771,53.0,0.7034691607870255,False,0.7760522669658415,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
88,88,8.954545454545455,3.7836643221194106,0.0,1.0,0.0,1.0,2.0,0.1861325551860031,0.0,1.0,0.0,1.0,20.0,0.30649168039938474,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
89,89,6.9523809523809526,3.415318300388783,1.0,0.4128280110662763,1.0,0.4823902352798669,1.0,0.5193984085603418,1.0,0.6098714635834486,0.0,1.0,16.0,0.806103248943886,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
90,90,8.53125,3.041220715025465,1.0,0.5737268443888853,2.0,0.2773076711946575,3.0,0.10599423046354679,4.0,0.05697505496794682,0.0,1.0,22.0,0.992806634646017,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
91,91,9.071428571428571,5.417752376800413,0.0,1.0,6.0,0.0021152946547527444,0.0,1.0,2.0,0.581111497116345,2.0,0.15059681914771447,32.0,0.9455129352854054,False,1.0,False,0.4226461905301093,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
92,92,4.992063492063492,2.5835131481076203,3.0,0.6422330648782802,5.0,0.37971490040779204,7.0,0.16226545972517456,7.0,0.35028331500242904,1.0,0.8758137175832097,102.0,0.8342051923870422,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
93,93,8.0,2.8284271247461903,0.0,1.0,2.0,0.11357759515837781,0.0,1.0,1.0,0.5713101293815986,0.0,1.0,15.0,0.6911410994978812,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
94,94,6.212355212355212,1.0044696699451041,6.0,0.680262484949761,8.0,0.6049126062116995,12.0,0.2205916341145106,11.0,0.6498933872169512,4.0,0.6195043509970171,218.0,0.568528429316577,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
95,95,9.392857142857142,2.365515433326556,4.0,0.005727488513029999,1.0,0.6024791049973324,1.0,0.6417156255314966,2.0,0.37054950193848174,0.0,1.0,20.0,0.9770526454491277,False,0.21327084499428067,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
96,96,9.2,2.638181191654584,0.0,1.0,0.0,1.0,1.0,0.30655255867736503,2.0,0.07409810090638695,0.0,1.0,7.0,0.9425712130380458,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
97,97,3.192,4.080580350881477,7.0,0.042422330587809774,0.0,1.0,7.0,0.15312344095776756,4.0,0.8234810190185073,0.0,1.0,105.0,0.4325211412638823,False,0.6109487593647174,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
98,98,9.0,2.1821789023599236,0.0,1.0,2.0,0.14655133874500859,0.0,1.0,3.0,0.06912907988503081,1.0,0.29368244664317833,15.0,0.9644808177572777,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
99,99,7.756756756756757,1.6175624872913514,1.0,0.6065594945301347,0.0,1.0,0.0,1.0,2.0,0.4823398912868262,1.0,0.4401553724373347,31.0,0.3387936931050465,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
